prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,25.3067
0,0,1,32,25.3865
0,0,1,64,26.9493
0,0,1,128,28.4318
0,0,1,256,33.2907
0,0,1,512,35.4502
0,0,1,1024,36.9333
0,0,1,2048,37.344
0,0,1,4096,39.7815
0,0,1,8192,45.0132
0,0,1,16384,53.6638
0,0,1,32768,64.9553
0,0,1,65536,79.2377
0,0,2,16,25.611
0,0,2,32,25.5677
0,0,2,64,27.2593
0,0,2,128,28.6512
0,0,2,256,35.3328
0,0,2,512,35.9093
0,0,2,1024,37.4615
0,0,2,2048,40.075
0,0,2,4096,44.507
0,0,2,8192,52.528
0,0,2,16384,60.3147
0,0,2,32768,75.2587
0,0,2,65536,103.21
0,0,4,16,25.824
0,0,4,32,25.6105
0,0,4,64,27.3337
0,0,4,128,29.1463
0,0,4,256,35.3543
0,0,4,512,36.4907
0,0,4,1024,39.9627
0,0,4,2048,44.6823
0,0,4,4096,49.6635
0,0,4,8192,57.6588
0,0,4,16384,71.8722
0,0,4,32768,98.7945
0,0,4,65536,155.243
0,0,8,16,26.7948
0,0,8,32,26.7205
0,0,8,64,28.1012
0,0,8,128,29.6107
0,0,8,256,39.1627
0,0,8,512,39.643
0,0,8,1024,43.4298
0,0,8,2048,47.7278
0,0,8,4096,56.7202
0,0,8,8192,68.4002
0,0,8,16384,94.5762
0,0,8,32768,147.877
0,0,8,65536,250.928
0,0,16,16,27.1945
0,0,16,32,27.5468
0,0,16,64,28.8587
0,0,16,128,30.4537
0,0,16,256,42.6833
0,0,16,512,46.7893
0,0,16,1024,50
0,0,16,2048,55.92
0,0,16,4096,68.6617
0,0,16,8192,94.9122
0,0,16,16384,148.112
0,0,16,32768,252.928
0,0,16,65536,460.395
0,0,32,16,28.1277
0,0,32,32,28.2073
0,0,32,64,29.7277
0,0,32,128,31.184
0,0,32,256,50.3203
0,0,32,512,54.0487
0,0,32,1024,59.7872
0,0,32,2048,73.6055
0,0,32,4096,99.9787
0,0,32,8192,153.632
0,0,32,16384,257.67
0,0,32,32768,465.671
0,0,32,65536,880.871
0,0,64,16,30.7148
0,0,64,32,31.2375
0,0,64,64,32.3575
0,0,64,128,34.4637
0,0,64,256,50.9333
0,0,64,512,57.6108
0,0,64,1024,70.0108
0,0,64,2048,96.3955
0,0,64,4096,150.849
0,0,64,8192,255.265
0,0,64,16384,464.183
0,0,64,32768,882.327
0,0,64,65536,1709.84
0,0,128,16,43.2692
0,0,128,32,43.6103
0,0,128,64,46.6088
0,0,128,128,50.5278
0,0,128,256,81.0888
0,0,128,512,95.4195
0,0,128,1024,122.117
0,0,128,2048,175.547
0,0,128,4096,281.132
0,0,128,8192,490.833
0,0,128,16384,906.557
0,0,128,32768,1742.91
0,0,128,65536,3401.77
0,0,256,16,73.2693
0,0,256,32,73.6903
0,0,256,64,79.2275
0,0,256,128,86.0375
0,0,256,256,152.817
0,0,256,512,180.715
0,0,256,1024,232.945
0,0,256,2048,337.82
0,0,256,4096,547.073
0,0,256,8192,960.632
