pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.8251,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.476,3
0,n<=4,sr<=40%,kvB<=64k,kp=0,0.0647,2
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.2204,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.5688,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,1.0343,2
0,n<=4,sr<=70%,kvB<=64k,kp=0,0.061,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.1546,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.4286,1
0,n<=4,sr>70%,kvB<=4k,kp=0,0.0775,1
0,n<=4,sr>70%,kvB<=64k,kp=0,-0.1146,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.2922,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.876,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.3852,4
0,n<=64,sr<=15%,kvB<=64k,kp=0,0.2686,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.3171,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.9779,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.4894,2
0,n<=64,sr<=40%,kvB<=64k,kp=0,0.2668,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.329,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.6607,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.3844,6
0,n<=64,sr<=5%,kvB<=64k,kp=0,0.3124,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.4372,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,1.9127,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,0.768,2
0,n<=64,sr<=70%,kvB<=64k,kp=0,0.3525,2
0,n<=64,sr>70%,kvB<=16k,kp=0,1.4155,4
0,n<=64,sr>70%,kvB<=1k,kp=0,4.5344,4
0,n<=64,sr>70%,kvB<=4k,kp=0,2.058,4
0,n<=64,sr>70%,kvB<=64k,kp=0,1.0852,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.065,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.7347,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.3033,2
0,n<=8,sr<=15%,kvB<=64k,kp=0,0.0162,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0172,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.6748,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.2101,4
0,n<=8,sr<=40%,kvB<=64k,kp=0,0.0098,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0606,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.504,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.1399,2
0,n<=8,sr<=70%,kvB<=64k,kp=0,0.0956,2
0,n<=8,sr>70%,kvB<=16k,kp=0,-0.1168,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.3236,1
0,n<=8,sr>70%,kvB<=4k,kp=0,0.2699,3
0,n<=8,sr>70%,kvB<=64k,kp=0,-0.1048,4
16,n<=128,sr<=15%,kvB<=16k,kp<=16k,0.017,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,-0.0282,4
16,n<=128,sr<=15%,kvB<=16k,kp<=32k,-0.0135,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0552,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,-0.0282,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0915,4
16,n<=128,sr<=15%,kvB<=1k,kp<=16k,-0.0304,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0716,4
16,n<=128,sr<=15%,kvB<=1k,kp<=32k,-0.0058,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,-0.021,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,-0.0487,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.4362,4
16,n<=128,sr<=15%,kvB<=4k,kp<=16k,0.0045,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,-0.008,4
16,n<=128,sr<=15%,kvB<=4k,kp<=32k,-0.0892,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,-0.0047,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,-0.0438,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.1335,4
16,n<=128,sr<=15%,kvB<=64k,kp<=16k,-0.0547,2
16,n<=128,sr<=15%,kvB<=64k,kp<=2k,0.0526,4
16,n<=128,sr<=15%,kvB<=64k,kp<=32k,-0.0325,4
16,n<=128,sr<=15%,kvB<=64k,kp<=512,0.0716,4
16,n<=128,sr<=15%,kvB<=64k,kp<=8k,-0.0313,4
16,n<=128,sr<=15%,kvB<=64k,kp=0,0.0813,4
16,n<=128,sr<=40%,kvB<=16k,kp<=16k,-0.0278,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0091,2
16,n<=128,sr<=40%,kvB<=16k,kp<=32k,0.0395,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.0921,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.1759,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.1438,2
16,n<=128,sr<=40%,kvB<=1k,kp<=16k,-0.0206,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.1072,2
16,n<=128,sr<=40%,kvB<=1k,kp<=32k,0.0203,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,-0.2226,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0926,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.3632,2
16,n<=128,sr<=40%,kvB<=4k,kp<=16k,-0.0272,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.1772,2
16,n<=128,sr<=40%,kvB<=4k,kp<=32k,-0.1128,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0454,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0623,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.1826,2
16,n<=128,sr<=40%,kvB<=64k,kp<=16k,-0.2521,1
16,n<=128,sr<=40%,kvB<=64k,kp<=2k,0.0753,2
16,n<=128,sr<=40%,kvB<=64k,kp<=32k,-0.1834,2
16,n<=128,sr<=40%,kvB<=64k,kp<=512,0.1011,2
16,n<=128,sr<=40%,kvB<=64k,kp<=8k,-0.024,2
16,n<=128,sr<=40%,kvB<=64k,kp=0,0.1134,2
16,n<=128,sr<=5%,kvB<=16k,kp<=16k,0.0368,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0258,8
16,n<=128,sr<=5%,kvB<=16k,kp<=32k,0.0224,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0801,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,-0.0055,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.1116,8
16,n<=128,sr<=5%,kvB<=1k,kp<=16k,0.0028,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0015,8
16,n<=128,sr<=5%,kvB<=1k,kp<=32k,0.008,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0054,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,-0.0004,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.3197,8
16,n<=128,sr<=5%,kvB<=4k,kp<=16k,-0.0086,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0043,8
16,n<=128,sr<=5%,kvB<=4k,kp<=32k,-0.003,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0127,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0067,8
