prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,18.8848
0,0,1,32,18.8535
0,0,1,64,20.5493
0,0,1,128,22.0218
0,0,1,256,25.1733
0,0,1,512,27.3175
0,0,1,1024,27.7978
0,0,1,2048,29.4132
0,0,1,4096,30.6723
0,0,1,8192,32.9012
0,0,1,16384,36.4592
0,0,1,32768,42.219
0,0,1,65536,52.6725
0,0,2,16,18.8957
0,0,2,32,18.9757
0,0,2,64,20.5443
0,0,2,128,22.0908
0,0,2,256,25.5785
0,0,2,512,27.563
0,0,2,1024,28.1278
0,0,2,2048,29.4503
0,0,2,4096,30.9917
0,0,2,8192,33.76
0,0,2,16384,40.4265
0,0,2,32768,48.832
0,0,2,65536,66.987
0,0,4,16,19.168
0,0,4,32,19.3547
0,0,4,64,20.907
0,0,4,128,22.326
0,0,4,256,25.8558
0,0,4,512,27.5308
0,0,4,1024,28.0057
0,0,4,2048,30.0692
0,0,4,4096,32.8487
0,0,4,8192,39.6212
0,0,4,16384,47.6098
0,0,4,32768,65.1085
0,0,4,65536,99.3342
0,0,8,16,19.1625
0,0,8,32,19.3552
0,0,8,64,20.6938
0,0,8,128,22.3523
0,0,8,256,26.4807
0,0,8,512,28.3045
0,0,8,1024,30.608
0,0,8,2048,33.744
0,0,8,4096,39.8672
0,0,8,8192,47.6217
0,0,8,16384,65.3067
0,0,8,32768,100.059
0,0,8,65536,166.134
0,0,16,16,19.7175
0,0,16,32,19.771
0,0,16,64,21.5085
0,0,16,128,22.981
0,0,16,256,28.6883
0,0,16,512,30.683
0,0,16,1024,33.6213
0,0,16,2048,38.6665
0,0,16,4096,48.0805
0,0,16,8192,65.1307
0,0,16,16384,99.419
0,0,16,32768,166.737
0,0,16,65536,301.958
0,0,32,16,20.501
0,0,32,32,20.7623
0,0,32,64,22.0752
0,0,32,128,23.8988
0,0,32,256,31.7918
0,0,32,512,34.3253
0,0,32,1024,38.939
0,0,32,2048,47.3445
0,0,32,4096,64.811
0,0,32,8192,101.2
0,0,32,16384,167.451
0,0,32,32768,302.209
0,0,32,65536,571.414
0,0,64,16,21.8027
0,0,64,32,22.0907
0,0,64,64,23.3548
0,0,64,128,25.7065
0,0,64,256,37.52
0,0,64,512,41.9837
0,0,64,1024,51.3065
0,0,64,2048,69.6103
0,0,64,4096,105.115
0,0,64,8192,172.331
0,0,64,16384,308.257
0,0,64,32768,577.057
0,0,64,65536,1113.06
0,0,128,16,23.7068
0,0,128,32,23.6423
0,0,128,64,25.9255
0,0,128,128,29.0937
0,0,128,256,44.1553
0,0,128,512,54.1437
0,0,128,1024,71.4245
0,0,128,2048,105.621
0,0,128,4096,173.6
0,0,128,8192,306.956
0,0,128,16384,575.527
0,0,128,32768,1111.88
0,0,128,65536,2183.47
0,0,256,16,32.3683
0,0,256,32,33.2797
0,0,256,64,36.4693
0,0,256,128,43.1998
0,0,256,256,73.8453
0,0,256,512,93.0452
0,0,256,1024,127.691
0,0,256,2048,193.75
0,0,256,4096,328.784
0,0,256,8192,591.852
0,0,256,16384,1117.78
0,0,256,32768,2171.88
0,0,256,65536,4283.62
16,0,0,0,24.3787
16,0,1,16,24.5707
16,0,1,32,24.5063
16,0,1,64,25.7443
16,0,1,128,27.1838
16,0,1,256,31.36
16,0,1,512,32.5548
16,0,1,1024,32.4748
16,0,1,2048,34.2455
16,0,1,4096,38.021
16,0,1,8192,44.507
16,0,1,16384,58.8383
16,0,1,32768,86.0855
16,0,1,65536,141.413
16,0,2,16,24.5068
16,0,2,32,24.5762
16,0,2,64,25.5895
16,0,2,128,27.2962
16,0,2,256,30.5337
16,0,2,512,31.4028
16,0,2,1024,31.8825
16,0,2,2048,33.7283
16,0,2,4096,37.7808
16,0,2,8192,43.4563
16,0,2,16384,58.5555
16,0,2,32768,86.0482
16,0,2,65536,140.934
16,0,4,16,24.6823
16,0,4,32,24.6502
16,0,4,64,26.16
16,0,4,128,27.4183
16,0,4,256,30.4585
16,0,4,512,32.0587
16,0,4,1024,32.7203
16,0,4,2048,36.5383
16,0,4,4096,40.7147
16,0,4,8192,45.5522
16,0,4,16384,61.275
16,0,4,32768,89.0458
16,0,4,65536,146.118
16,0,8,16,25.6638
16,0,8,32,25.3217
16,0,8,64,26.4163
16,0,8,128,27.9523
