pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.1986,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.5406,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.241,4
0,n<=128,sr<=15%,kvB<=64k,kp=0,0.1861,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.1851,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.4635,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.2492,2
0,n<=128,sr<=40%,kvB<=64k,kp=0,0.167,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.1822,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.3191,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.2102,8
0,n<=128,sr<=5%,kvB<=64k,kp=0,0.1773,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.2254,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.6522,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.362,2
0,n<=128,sr<=70%,kvB<=64k,kp=0,0.1976,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.5486,4
0,n<=128,sr>70%,kvB<=1k,kp=0,1.4058,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.8445,4
0,n<=128,sr>70%,kvB<=64k,kp=0,0.426,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0331,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.4913,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0937,4
0,n<=16,sr<=15%,kvB<=64k,kp=0,0.0222,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.055,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.3705,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1516,4
0,n<=16,sr<=40%,kvB<=64k,kp=0,0.0135,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0237,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.2761,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0914,2
0,n<=16,sr<=70%,kvB<=64k,kp=0,0.0115,2
0,n<=16,sr>70%,kvB<=16k,kp=0,-0.0576,4
0,n<=16,sr>70%,kvB<=1k,kp=0,-0.7545,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.24,4
0,n<=16,sr>70%,kvB<=64k,kp=0,0.0007,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.7454,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.8686,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.6036,2
0,n<=2,sr<=70%,kvB<=64k,kp=0,0.1518,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0537,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.2501,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0633,4
0,n<=256,sr<=15%,kvB<=64k,kp=0,0.0532,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0838,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1914,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.121,2
0,n<=256,sr<=40%,kvB<=64k,kp=0,0.0804,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0604,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.1625,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0633,8
0,n<=256,sr<=5%,kvB<=64k,kp=0,0.0611,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0055,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0793,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0052,2
0,n<=256,sr<=70%,kvB<=64k,kp=0,0.0019,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.562,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.443,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.5366,4
0,n<=256,sr>70%,kvB<=64k,kp=0,0.5757,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0801,6
