prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,17.2105
0,0,1,32,17.3008
0,0,1,64,18.8587
0,0,1,128,20.4002
0,0,1,256,22.8803
0,0,1,512,25.179
0,0,1,1024,25.605
0,0,1,2048,26.3357
0,0,1,4096,27.5042
0,0,1,8192,30.0633
0,0,1,16384,34.2028
0,0,1,32768,39.7008
0,0,1,65536,49.7338
0,0,2,16,17.403
0,0,2,32,17.472
0,0,2,64,19.003
0,0,2,128,20.4538
0,0,2,256,23.387
0,0,2,512,25.6747
0,0,2,1024,25.5357
0,0,2,2048,26.8485
0,0,2,4096,28.202
0,0,2,8192,30.7577
0,0,2,16384,36.6665
0,0,2,32768,46.2457
0,0,2,65536,63.9678
0,0,4,16,17.4348
0,0,4,32,17.6373
0,0,4,64,19.051
0,0,4,128,20.624
0,0,4,256,23.2005
0,0,4,512,24.9173
0,0,4,1024,25.3278
0,0,4,2048,26.8423
0,0,4,4096,29.4287
0,0,4,8192,34.832
0,0,4,16384,43.8455
0,0,4,32768,62.3467
0,0,4,65536,95.8722
0,0,8,16,17.5737
0,0,8,32,17.8182
0,0,8,64,19.024
0,0,8,128,20.6297
0,0,8,256,23.6053
0,0,8,512,25.1575
0,0,8,1024,26.566
0,0,8,2048,29.0775
0,0,8,4096,34.8318
0,0,8,8192,43.499
0,0,8,16384,60.9763
0,0,8,32768,95.0025
0,0,8,65536,162.902
0,0,16,16,17.7598
0,0,16,32,17.9633
0,0,16,64,19.429
0,0,16,128,21.094
0,0,16,256,25.3973
0,0,16,512,26.5973
0,0,16,1024,30.0483
0,0,16,2048,34.9497
0,0,16,4096,44.155
0,0,16,8192,60.5603
0,0,16,16384,96.5813
0,0,16,32768,162.352
0,0,16,65536,297.025
0,0,32,16,18.7468
0,0,32,32,19.0025
0,0,32,64,20.5653
0,0,32,128,22.1232
0,0,32,256,28.144
0,0,32,512,31.2693
0,0,32,1024,35.9465
0,0,32,2048,44.5493
0,0,32,4096,61.6372
0,0,32,8192,97.1572
0,0,32,16384,163.883
0,0,32,32768,298.32
0,0,32,65536,565.981
0,0,64,16,19.8082
0,0,64,32,20.0218
0,0,64,64,21.9518
0,0,64,128,23.6802
0,0,64,256,33.2693
0,0,64,512,38.2187
0,0,64,1024,47.1523
0,0,64,2048,65.1575
0,0,64,4096,100.368
0,0,64,8192,167.462
0,0,64,16384,302.497
0,0,64,32768,571.063
0,0,64,65536,1108.22
0,0,128,16,21.755
0,0,128,32,22.2345
0,0,128,64,24.3045
0,0,128,128,27.6268
0,0,128,256,39.7982
0,0,128,512,50.305
0,0,128,1024,67.8242
0,0,128,2048,102.753
0,0,128,4096,169.308
0,0,128,8192,303.372
0,0,128,16384,571.149
0,0,128,32768,1108.76
0,0,128,65536,2183.86
0,0,256,16,29.0292
0,0,256,32,29.6157
0,0,256,64,33.2323
0,0,256,128,40.059
0,0,256,256,65.2052
0,0,256,512,84.4158
0,0,256,1024,119.035
0,0,256,2048,184.87
0,0,256,4096,318.027
0,0,256,8192,583.33
0,0,256,16384,1109.56
0,0,256,32768,2162.93
0,0,256,65536,4282.39
16,0,0,0,22.7307
16,0,1,16,22.576
16,0,1,32,22.8798
16,0,1,64,23.5947
16,0,1,128,25.4078
16,0,1,256,30.0055
16,0,1,512,28.8532
16,0,1,1024,28.6507
16,0,1,2048,30.1655
